Title,Data,Category
"The worst one

","The worst one, please check the prices because they lie about them. The offical prices are so much lower then the one they say that are. And they act like the items are on sale , but they’re not . They just rise the prices and you pay more . And also they dont offer the option to cancel the order asap. The customer selfice not helpful at all.

",neg
"ruined my wedding day.

","ruined my wedding day.no communication, lies over the phone, wedding dress not delivered on time, and I hear are excuses, excuses..

",neg
"This was one of the worst shopping…

","This was one of the worst shopping experiences I&apos;ve ever had. Farfetch sold me a product that was unable to clear customs due to unprovided product information. Money, time, and shipment tied up for over a week after being reassured everything was resolved 👎🏾👎🏾👎🏾down.

",neg
"So shocking

","So shocking. I’m updating on my complaint that farfetch continues to make false promises for a refund for an item I never received and have now after two weeks said they won’t give me my money even though they admitted I was entitled to it. Straight robbery to a loyal long time client. So disgusted in your shameful customerService. You should be ashamed of what you are doing.Look at their generic fake responses to people speaking the truth. Thanks Rodolfo for your appalling false emails stating you will refund me and then avoiding any action. You are a bunch of scammers. NEVER SHOP AT FARFETCH. ITS BOUND TO GO WRONG AND THEIR SERVICE IS ZERO IN FACT THEY PREY ON THESE MOMENTS TO ROB YOU

",neg
"AVOID!!! £170 stolen from me by these crooks - shop elsewhere

","Returned a bracelet iaw Farfetch’s open box return policy (see website for details) using DHL. I followed the policy exactly, leaving the box open for the driver to verify and accept the contents. A week later I had an email saying that my parcel arrived with the contents missing, therefore I would not receive a refund. I contacted customer service stating that I had indeed returned the item, and the driver had verified its contents (iaw their policy) and accepted the parcel (if there was no bracelet, they would reject it). Farfetch should have issued my refund and reviewed their return policy, to consider whether they do a ‘closed box’ approach like most retailers. Instead I was told this was my responsibility and I would not be getting my money back. Basically, I’ve had this money stolen from me and now have to take the time to pursue the issue through trading standards. Never using Farfetch again and instead sticking with ethical businesses like End.NOTE: IF YOUR POLICY SAYS CUSTOMERS RETURN IT WITH THE BOX OPEN, THEY ARE NOT RESPONSIBLE FOR THE CONTENTS ONCE IT LEAVES THEIR CARE. TAKE RESPONSIBILITY FOR YOUR CUSTOMER CARE AND CORPORATE POLICIES.

",neg
"They need to check their prices

","They need to check their prices, I have a habit of window shopping before buying anything and I have noticed that their prices are higher then the original prices in stores , very disappointing

",neg
"An experience worth 0 stars.

","If I could give 0 stars, I would. And I mean that. First of all, my item was held up in customs for over 3 weeks, and FF barely did anything to help it move along. I had to act as a liaison between FF and the courier. I ended up opting to return to sender since it would’ve been almost a month since they shipped. The FF representatives were nice, but they weren’t on top of updating me whatsoever. Only after I contacted the courier myself to return the item, that’s when the item started to move along. I can only say that this was my first and definitely last purchase from FARFETCH. I will keep my business at SSENSE.

",neg
"Farfetch is a big SCAM

","Farfetch is a big scam. I purchase 2 items that cost around 1500 and never receive them. When I called to let them know I didn’t receive my package on the delivery day. They were extremely rude and denied me help. I then ask for a refund and was told no because of lack of information about the claim case. Overall farfetch is a big SCAM and  I will NEVER order there again.

",neg
"Articles that I paid for are eventually…

","Articles that I paid for are eventually unavailable. Bad algorithm.

",neg
"i had to pay additional taxes

","i had to pay additional taxes customer service was very rude im still waiting for a call back instead of taking responsibility the try to claim its not themwill not order from farfetch

",neg
"Made two orders and both cancelled

","Made two orders and both cancelled, no explanation, waited for over a week for each order and just got refunded. Horrible customer experience, as a first time customer I don&apos;t see why you should buy through a middleman website when you can buy directly with the independent shops. Waste of time, avoid

",neg
"I have ordered a pair of sneakers

","I have ordered a pair of sneakers, after 2 days they canceled it and when i wanted to re-order them the price was 20% higher

",neg
"£10 delivery?

","Just gone to order an item from the UK, delivering to the UK and the cost is £10 delivery. What a joke.

",neg
"POOR CUSTOMER SERVICE -- I didnt order this!

","This order was ordered against my permission by their terrible website. This is the second time in 5 years that this has occurred. They shouldnt store credit card details on the website. I CANCELLED the order immediately. Yet, they decided to send it out to me, despite numerous emails and phone calls. I even asked for a Manager to phone me back -- which they SAID would happen, but it didnt!  Very poor customer service on all levels. Farfetch -- you really need to do much better. I find customer service is consistently very poor.

",neg
"For this order I must unfortunately…

","For this order I must unfortunately rate 1 star.The item I received was completely broken / shattered.Warm regardsJared

",neg
"Wrong size !!

","Wrong size !!! I ordered size M, they shipped size S for me. It was a gift to my sister I didn’t know it until she told me. Can not return as the tag already removed.

",neg
"STILL NOT RECEIVED MY BAG

","I&apos;m not happy with service. I ordered a bag for about £500 for my nieces wedding and still have not received it weeks later.I&apos;ve called customer services and its not helped. I&apos;ve emailed and received no email. They said they would email me but I&apos;ve still not received. I would like a refund. However they are refunding and just fobbing me off!

",neg
"The item was dirty

","The item was dirty, poorly tailored, packed in a paper

",neg
"I  am disgusted and disappointed with…

","I  am disgusted and disappointed with Farfetch this is the second item I have purchased from them from Moschino that is damaged. I just open the box only to find the Moschino Belt scratched up THEY KNEW THIS BELT WAS DAMAGED!!!!! There is no way!!! the lettering did not have plastic on it , this must have been a return item I am never shopping with Farfetch again I am tired of paying high duties only to get damaged items, I&apos;m Done with Farfetch!!!!!!!!!!!!!!  I want all of my money back duties included !!!!!!

",neg
"Unlucky experience

","I&apos;m very unlucky that I buy a pre owned Prada Brand wallet so disappointed shopping on Farfetch online,  the photo presentation looks really new and I&apos;m looking forward to receipt it. But when I received the wallet inside was broken and looks very old fashion. Who will waste the money to buy something can&apos;t use ??Lost my passion and I will never trust Farfetch online photos. Said goodbye to Farfetch online. :(

",neg
"Shop around

","The sale products are also grossly overpriced compared to other sites. You will save by being vigilent.

",neg
"Dolce and Gabanna Sunglasses

","I bought a pair of Dolce and Gabanna sunglasses and the temples became super loose after the first use so now they are so big that I can&apos;t wear them anymore. I wrote to Farfetch customer service like 5 weeks ago and because they never replied I have to call. It has been more than 4 weeks already and they still can&apos;t give me a solution. Not the customer service quality I would excpet from a luxury goods retailer.

",neg
"Paid $447 for a dolce and gabbana shoes…

","Paid $447 for a dolce and gabbana shoes that as been worn! You could literally see that the shoes was worn before! My first and last time buying a designer shoes from here. Never again! SSENSE would never!!!!!!

",neg
"Absolutely shocking service

","Absolutely shocking service. Ordered an item to be delivered by click and collect, waited 5 days and had to call twice to be told they don&apos;t offer click and collect (even though it&apos;s on their site) to then have to wait another 14 days after that for it to delivered to my changed address. I had to call 12 times and get absolutely no help from any of their customer service team. Every team they promised they would email/call me back and not one person did. To top it off their compensation offered was £20 off my next order. Unsurprisingly I won&apos;t be using the £20 as I will not be using them again.

",neg
"A little disappointed

","Not my first time as a customer but my first time being disappointed by them.I was expecting a designer box with a presentable packaging, all I got was a very poor packaging after spending all that money. And why my bag has a Farfetch tag and not Balenciaga? If this bag was shipped from Balenciaga shop in France why do I have a poor packaging? Someone need to answer this question a for me 🤦🏽‍♀️

",neg
"This item is from Hong Kong but it…

","This item is from Hong Kong but it takes so long to ship it to me really bad

",neg
"Refund not processed yet as promised!

","I was told by farfetch that if I withdraw my chargeback claim for order D5BD9E filed with my bank. That my refund for this particular order will be processed but since the withdrawal of this claim by me. Farfetch hasn’t gone ahead with the refund process as promised!

",neg
"Ridiculous description of shoes

","The picture you show only the right foot, but the left and right sides of the shoes are different colors. How could I know?

",neg
"Awful experience, order canceled, no refund, buyers beware!

","I&apos;ve placed an order of 717 Euro on July 7th, after one week the order status was still &quot;processing&quot;.Contacted Farfetch customer service twice, they answered the same thing &quot;Browns boutique is having some delays with the dispatch, they&apos;re going to send out your order soon&quot; then their last reply yesterday &quot;sorry for the delay, they&apos;re arranging your order, to apologize we&apos;ll refund the shipping costs&quot;.Yesterday evening I&apos;ve received a refund of 10 Euro for the shipping costs, great, today I login into my account and I see the order has been canceled and all products are marked as &quot;Sold out&quot;, but no refund has been issued.So basically, I&apos;ve spent 717 Euro, got my order canceled after 9 days and only 10 Euros as refund.Someone may call this a fraud...And this should be the high-end website with top notch customer service?!Awful, just awful!

",neg
"EMPTY PARCEL

","The box came empty and I’m now in a 15-day investigation process… cried all night because I’m out money, no gift for my dad, and no way to buy a replacement since that’s money I saved for a while and truly, there’s nothing for me to spend until I get my funds back.

",neg
"BEWARE!!!!

","BEWARE!!!!Fast delivery - 4 days from placing order to receiving goods.  VERY BAD returns …. 14 days UK/ The Netherlands / Brussels / Italy then 5 days to process and up to 10 days for refund to reach my account!!!!

",neg
"VERY BAD CUSTOMER SERVICE &amp; PRODUCT

","I have purchased a Dolce &amp; Gabana necklace.   After a few weeks some of the beads have started falling off one by one.  I contacted their customer services &amp; they asked me twice to send a picture.   Finally after 4 weeks &amp; many emails the company said they will send me a SPARE PART so I can take it to a local jewellery to get repaired with my own cost.   I have refused asked a replacement or a refund.   They said no.  After I have sent a twitter message they agreed to refund &amp; the item was collected.  However, it has been over 3 weeks now that I haven&apos;t received my refund and they are not responding to my email or twitter message.   I have found them extremely arrogant and very bad in dealing customer queries.

",neg
"Do not buy from Farfetch

","Be careful, this company do not take any responsibility for the product they are selling.I just bought a pair of Prada shoes, they where broken after wearing  4 times (due to an fabrication mistake)I reported this to Farfetch, and still after almost 3 months of contract with they customers service, they still will not help…Extremely frustrating, and bad service.This website should NOT be allowed to sell high-end brands, because they will never give you any service or take responsibility.Do NOT trust this web site, be careful !

",neg
"Absolutely Nightmare Delivery.

","Absolutely Nightmare Delivery.As a luxury store / high fashion industry, can they hire some better delivery service like Net-a-potter? Rather than just franchise it out? My building requires a password to go into the lift, I told them much time through the intercom, and obviously, they don&apos;t listen, and they complain right into my face next to my neighbor. Absolutely terrible service even though it was from DHL.

",neg
"The color is not genuine to be honest…

","The color is not genuine to be honest and it looks like after washing for couple of times, the color will fade away. Not the same quality I’ve ordered at first.

",neg
"I did not receive my order please…

","I did not receive my order please contact me 00971585572203

",neg
"INCOMPLETE OTDER / vital inclusions missing. YSL medium…

","I bought a much coveted YSL medium envelope bag at AUD $3100 It arrived without an Authenticity Card (!!!) and no branded box - just wrapped in a basic black dust bag.The invoice enclosed was also for less than what I had paid.Not happy. I’ve asked for the outstanding items and they said it was not possible to issue them to me. If I’d known I wasn’t getting a ‘full set’ I would’ve bought this bag somewhere else. Buyer Beware

",neg
"Don’t every buy from this company I…

","Don’t every buy from this company I brought a pair of Yeezy slide and I order a 7/12 they send me a 8 which are to big and they want me to send them back and purchase another pair Mind you I have to pay to send them back And if I purchase another pair they just keep going up in price which is ridiculous I bought them for three something and now they’re 800 just ridiculous

",neg
"Bad experience

","I just received the bag and the box is ripped, as is the paper inside, and the bag is scratched.Also, at the last order received on farfetch, I received an invoice with a smaller amount than the one paid and I was not able to clear the package. so my recent farfetch experience has been a bad one.

",neg
"The item ordered has been used and is…

","The item ordered has been used and is stained.  I have contacted customer service, but no one has responded to my inquiry.

",neg
"Overpromising, underdelivering

","Conflicting, misleading and unprofessional1.  Talking with the call center in two different countries I got, four different answers in three days2.  The staff is pretending to be helpful with their approach while on the phone or email, but ultimately they do nothing3.  The information on their website is oxymoronic all over, most often in consequential sentences. - In the first the say one thing, on the very next they deny themselves (example: &quot;Some of our partners don&apos;t allow cancelled orders. Don&apos;t worry, you&apos;ll be able to return your items if you change your mind.&quot;)- Estimated delivery 3-5 days(stated in three different places on the website, even after purchase), anyhow another estimated delivery 6 weeks.After having delayed dispatch for couple of days, I called their UK number to ask what is going on and I was assured that the company is taking one more extra day, because of the Corona situation to dispatch them, so there is nothing to worry about (simple lie, or avoid admitting not knowing what is going on).Waited couple more days, then I called again in the local country and received no answer, but got a promise to receive an e-mail. Not getting an e-mail, called again. Then I got an answer that I will need to wait 5-6 weeks, because it is custom item(which could have been told on the fist or second call, as well, or in email). Ultimately I am stuck with an order that I cannot cancel (even though they say - &quot;don&apos;t worry..&quot;, on their website and I asked to be canceled exactly at the first moment I understood the delivery will not take 3-5 days) and not being able to pick it up after 6 weeks. This is my first and last experience with them.

",neg
"Terrible return policy and customer…

","Terrible return policy and customer service. They will make it very hard to return your items.They should negotiate better terms with their suppliers. I have had much better experience buying/ returning at Selfridges, Bloomingdales, Nordstrom etc

",neg
"A purely disgraceful and disgusting…

","A purely disgraceful and disgusting company who offers zero customer support and satisfaction. I ordered a very expensive item as a gift which still hasn’t been delivered yet they are still charging me after coming to a conclusion that in fact they had delivered it. But where is it? I don’t have it and haven’t received it. The delivery service is trash. Wouldn’t recommend. Rubbish customer service and I now have to pay for a product which cost a lot of money and I haven’t received? Very ridiculous. Shambles of a company. Cancel them.

",neg
"Complaints on cancellation of order in last minute

","Dear Sir/Madam,I really feel very disappointed and never shop at this website again. I’ve ordered two items and all confirmed by your email.  At the last minutes, I’m being informed that the order is cancelled for one item. I’ve planned all few items as a set to wear in coming wedding ceremony event. Your lack of information and extremely ad hoc news ruin my whole plan. I strongly requested you to waive my $ of ordering and refund totally to me.Best Regards Angry loyal customer

",neg
"You send me the wrong colour of my…

","You send me the wrong colour of my order and send me made in china not made in italy

",neg
"The dress was second-hand

","The dress was second-hand! Used. Really bad service to sell this kind of dress as a high-end designer product. Lots of work and wasted time for everyone.

",neg
"NEVER AGAIN

","I waited almost 2 weeks for my items and they didn’t come! I paid for express shipping they lost my packages and told me there was nothing they could do! I’m beyond pissed and will NEVER be ordering from this site again!

",neg
"i have order jeans but what i recevied…

","i have order jeans but what i recevied is different from the pictures

",neg
"Refusing refund after losing package

","Don’t buy from this company.  Refused to pay a legit refund because their courier lost a package. They picked up all 3 from my house and then only refunded two, saying that the courier doesn’t remember taking the 3rd. Case closed.  Won’t take responsibility and refusing to release any details of the ‘investigation’ and saying that unless I have surveillance footage that they side with the courier despite it being 100% untrue. Customer service admits that really they know it’s their fault but won’t return the money nonetheless . Total scammers. Outnet is a way better company all around with better products and amazing customer service.

",neg
"Sale price is huge difference in a month

","I’m really disappointed that I just bought it last month cause the sale of the brand but  don’t think it is marked down almost HK$1000 in this month even I still haven’t used it until  now. Can’t believe the price is so much different just in a month . I think it’s hard to make a customer deciding when is the good time to shop during t he sale period .I think this time is the most unpleasant shopping experience in farfetch since I started to shop a few years ago.

",neg
"I will not use farfetch again

","I will not use farfetch again. My personal experiences has not been a good one. I bought a bag I had had my eye on for a while from ysl and used fetched as a go between to get the 10% new customer discount. I was  so happy to receive my new bag. I wore the bag once and noticed paint coming away on the intricate woven rattan in a few places revealing light wood through on a fully black bag. The detachable leather shoulder strap was also faulty and the clip broken. I liaised with farfetch to send the bag back 3 days after receiving the bag. Over a month later I have not received a refund but instead been told they are sending me a new bag.  Obviously with these two faults I am concerned this will happen again. Numerous emails back and forth and I feel very disappointed in the service I have received. As someone who buys a lot of luxury fashion I would advise buy directly from the store as when it comes to a faulty product they seem very despondent.

",neg
"Farfetch sells counterfeit products !

","The Tory Burch bracelet looks fake to me ! I have a same bracelet . This is the second one I bought for a friend , I can see the difference . Fake ! Fake ! Fake !

",neg
"Awful experience

","Awful experience. I order 2 items. Everything cost $1,250. I received second item I ordered within 3 days. Never received my the first item. I was calling farfetch everyday until my package was suppose to arrive and it didn’t. When I spoke to farfetch they said item was delivered and signed I asked them to check my past orders signatures to prove I did not sign and never received the item and they said they’re sorry they can’t help me. I will never shop here again their costumer service is so bad. Timing is awful you don’t receive a $200-$500 item and you won’t get a refund either. So bad. Thennnnnnnnn when I go to look at the link shipping info from FedEx and they didn’t even have my correct address on there. Then I call FedEx and they say only farfetch can fix it ( the address) So at this point I’m going back and forth with a farfetch agent through email about this issue. They tell me they have the correct address and I would receive it and never did because they never changed it for FedEx. Then I complain that I never received it because they failed to put the correct address and they simply said they can’t help me nor give me a refund . I still can’t believe it.  Then they stopped answering all together. Learned my lesson to never buy designer online go in person. Not worth the aggravation. What’s nuts is that it was my first time and I was ecstatic about just going off and feeling safe and secure to use the site because I wanted to spend $1,000,000 on here but they blocked this blessing and I’m grateful.

",neg
"Missing jacket no accountability

","A further update and I still never received my refund until now. farfetch had offered me a refund and now took it back. Saying I need to go to my payment provider. They are running away from the responsibility. This is robbery. I’ll never trust them again with anything. Their generic repsonse to all the reviews is appalling and they are so corrupt. My order had two items only one arrived and I had received the package myself and opened it. Only one out of two items ordered were inside. Farfetch has taken no responsibility to go back to the boutique Rubino kids to understand why it was not sent. They instead have said because I chose the option for no signature on delivery they accept no responsibility for anything. How ever I know what I did and didn’t receive and I’m an honest customer. They don’t care about the fact I have lost $470 and actually never received an item I paid for. Shameful operations and boutiques they choose who should be questioned and not trusted with people’s money.

",neg
"Over priced

","Over priced, poor quality. Not again

",neg
"No responsibility. Scam!

","Bought a pair of espadrilles but they delivered the wrong colour and were directly falling apart after wearing them for a few hours. They refuse to take responsibility and don’t want to return my money or send me a new pair. They say it&apos;s the responsibility of their partner but they basically own that company.They are full with nice words and apologies but those words mean nothing. They scam you this way and i will never shop with them again.

",neg
"Such a disappointment

","Such a disappointment! Paid 700€ for a pair of Prada sandals. They are defective and I sent them back and they don’t reply.I am left with no sandals and summer vacation is almost Over for me! They said it might even take 3 months for them to decide how to deal with my case! BADCUSTOMER CARE !At the end, after almost one month, they ended up with the solution of refund which I think they should have done a lot earlier! Summer lasts 3 months. Anyways. I’ll think about purchasing any expensive piece again from this website

",neg
"Received dirty product

","The trainers soles are dirty. It’s awful!

",neg
"My items got missing and Farfetch…

","My items got missing and Farfetch didn’t even contact me about anything. Takes long to conduct a investigation and takes mad long to give me back my refund .

",neg
"Wrong item sent

","Wrong item sent ChargedOver $200 for a face mask instead of what I actually ordered

",neg
"No Accountability

","Ordered 2 Polo Ralph Lauren tops only to receive an empty box with the damaged sticker on it. My initial enquiry was not investigated at all as to where the missing items are or how an empty box was sent in the first place. The team investigating it took over 15 days to tell me they were able to track that the delivery reached my house (which you&apos;d think they would&apos;ve figured it out when I messaged about receiving an empty box). Simply thanked me for my understanding that they won&apos;t be able to refund me items I paid for but never received.

",neg
"Wrong size was sent

","Wrong size was sent! Tried calling &amp; got hung up on!

",neg
"Buyers beware, Farfetch do not authenticate or guarantee products sent...

","Bought 2 Givenchy items from Farfetch about 3 years ago, a Black Logo Motif Printed cotton T-shirt and Black Distressed Logo Sweater, they came from 2 different boutiques in Europe, Russo Capri Italy and Greece Luisa World respectively. After the first wear of the Givenchy sweater (which was about 6 months after I purchased it because it was Summer when I purchased November in Australia) I noticed it started to fall apart, the threads holding the jumper together were disintegrating, it was 100% a fake, which made me question both items. I took the jumper into the Givenchy boutique in Westfield Centrepoint and confirmed it was a fake. So I contacted Farfetch and they gave me an automated response about items being authentic from boutiques chosen for you etc etc and that they would follow up the boutique, they never did and I never heard from them again even after chasing them up again, I pretty much gave up so they do get away with it a lot. DO NOT shop with Farfetch, it&apos;s hit a miss, Farfetch do not check or authenticate items sent and boutiques can pretty much send you what they want as long as they are on the platform, it&apos;s pretty much like Facebook Marketplace or Etsy in that sense, BUYERS BEWARE! Stick to direct from the Boutiques or authorised distributors that brands name on their website, such as Net-a-Porter, Saks or Neiman Marcus etc.

",neg
"Do not use FarFetch they are not a retailer

","The first time we ever used them purchased one dress (£2k each) in 3 sizes, returned 2, as witnessed by couriers now FF are refusing to refund one. And won’t accept the 3rd as a return after taking over 4 weeks to try to resolve the situation. These people are not retailers they have no control over their process. Stick to trusted companies. Disgraceful.

",neg
"I need to send back it’s the wrong size…

","I need to send back it’s the wrong size I didn’t order extra small I ordered medium I’m so mad

",neg
"Do not buy from UK, you will pay more tax than stated

","Do not buy from UK. DHL send me every single month a debt letter because my product was from Italy. Customer service keep telling me for 5 months they will sort it out, but no result except continued harassment from DHL.

",neg
"Worst shopping online they do have…

","Worst shopping online they do have return policy but they don&apos;t want to return their products in any cost.See I had return order due to size issue on 02/05/21 till now they don&apos;t arrenge for return pickup they mail me that there is restrictions on your area Which is no more now it&apos;s reopen Embargo and meanwhile I order again the same product on smaller size on same date 02/06/21 it&apos;s diliver to me on 15/06/21 so it clear that they don&apos;t want me to return then why this people show the return policy.It should be strictly look by the heigher authority they violate the customer  rights

",neg
"I never received my order they had lost it and never replaced it

","I never received my order they had proof of that and never resent what I ordered

",neg
"Order cancelled by Farfetch, $2000+ not refunded

","I ordered a bag for over 2000 NZD on Farfetch. Received order confirmation but then a few hours later received another email stating my order has been cancelled as they could not complete a security check with my payment provider (I used a standard VISA credit card). HOWEVER, money was still taken out of my account!I have since been in contact with Farfetch customer services. They have been 1) slow to respond, 2) asking me for further information on things I already provided, and 3) completely ignoring my questions such as: confirming whether I will receive a refund!!!Definitely the worst shopping experience I’ve had. Feels like I’ve been scammed out of $2000+. Not at all what you would expect given that they sell high-end products.

",neg
"The item I received was different from…

","The item I received was different from description and I have already sent Farfetch an email and still waiting for reply.

",neg
"It’s fake company please don’t buy from…

","It’s fake company please don’t buy from here, i bought a shoes, they email back the next day saying it’s not available but there was but more expensive so i called them and asked them why you rejected my payment? They said because it’s not that price so i bought them again with £165 expensive ones and again the next day they rejected and they raised again more £120. Unbelievable fake company,i am so upset

",neg
"They don&apos;t care

","Update: After two weeks Farfetch has responded to my post. But I still have not got the refund. If they fail to refund me within stated by them timeframe of 14 days, I am going to go to Small Claims Court.I have ordered a two dsquared2 items from Farfetch in May, a facemask and phone cover. They were coming from two different locations. I received first package with wrong face mask I complained to Farfetch who at first advised me to return the item for a refund (which was pretty incredible) as everyone knows those items should not be allowed to be returned. I have decided to keep the item and settled for receiving the difference in price. At that time I was told I will need to wait up to 10 days for my refund. This seem rather excessive. Trying to check status of my second package, I got in touch with DHL Express that Farfetch use. I was advised DHL could not locate it due to security breach at their Dublin depot. I was told my package was opened and contents were missing. After few days DHL informed me they definitely cannot locate the item.I contacted Farfetch immediately and was told they will investigate this with DHL and that the whole process will take up to 15 days. Please note I was able to get the confirmation myself so I passed it onto Farfetch. This did not change anything, I took Farfetch exactly 16 days to get back to me confirming something I have already told them (and provided proof of over 2 weeks ago). Now I am being told I need to wait for my refund, cause their processing time is up to 14 days. This is absolutely ridiculous. For a company that is dealing with designer goods, the approach to the customer seems to be, we don&apos;t really care.When ordering I was not expecting to have issues with both of my orders. I just wanted to get the items I paid for. Farfetch did not wait several weeks to charge my credit card. They did that immediately. But of course refunds always takes ages to complete. Additionally it was not my fault Farfetch choses to use one of the worst delivery companies out there. Still it appears I am supposed to remedy the issue by patiently waiting for them to take ages to resolve simple issue, and I am left with reordering the item, if I still want it after weeks of &quot;investigation&quot; and &quot;refund processing&quot;.Think twice about ordering through their app.

",neg
"The swimming suit was blue intead of…

","The swimming suit was blue intead of white.

",neg
"Such a rubbish company it&apos;s like you…

","Such a rubbish company it&apos;s like you can purchase anything we will dilivered but for return commencing date by date very disappointed. I have an order return and order number is LDM894 which I request for return on 02/05/21 still not collected the return order but again I purchased the same item in smaller size it dilivery to me on 16/06/21 now you see they don&apos;t want to be returned they playing hide and seek with the dilivery partner  by pushing me to commencing date by date for pickup the shipment don&apos;t know why it is doing like this is the harsh reality of this company

",neg
"I placed an order for fendi slides…

","I placed an order for fendi slides 2FQV8S. As soon as the order confirmation page came up, I realised that the shoe size was wrong. I immediately called customer service to cancel or change the size, and was told that it was too late to cancel as the item was waiting for the courier to be picked up. Mind you, this is like 5 minutes after I placed the order. The Farfetch site clearly states you can cancel an order, and I believe that cancelling within 5 minutes should be fine.,Farfetch would rather alienate a customer over something as simple as cancelling an order. Now I have to wait to receive the item, send it back and wait for my refund. One would think that in this day of the COVID-19 pandemic when companies are trying to make things easier for customers and clients to patronise them, Farfetch is making it more difficult.I will never use them again.

",neg
"Received US sizing instead of UK

","I ordered a pair of shoes, in size UK 11.5, but received a pair in US 11.5.Obviously that&apos;s not the same size, so they&apos;re too small, and now the correct size is out of stock.Thanks a lot.EDIT:The response from Farfetch claiming their customer service team resolved this issue is false.They didn&apos;t solve anything.Considering they sold me an item they didn&apos;t have, and didn&apos;t do anything to acquire it, my only option was to return the shoes, unless I wanted to keep a pair of sheos that didn&apos;t fit. This issue definitely wasn&apos;t resolved, and if it was, it definitely wasn&apos;t resolved by them.Especially considering how their return service has been the most advanced return I&apos;ve ever had to go through with.

",neg
"Extremely poor logistics service

","Extremely poor logistics service . Will certainly not order again- I still haven’t received the shipment

",neg
"Farfetch absolutely useless.

","Farfetch absolutely useless.. offer discounts the site wide but says nowhere you have to spend £150 offer discounts for signing up to newsletter but again says nowhere you have to spend £150...a very dishonest and underhand company and I advise you to stay well clear.!!!!!!

",neg
"Didn’t receive parcel

","I ordered an item with order number D5BD9E, my order required a signature but it was signed and supposedly received by no  one related to me at the premises or the environs (A.Odafe). I raised a case and it wasn’t resolved amicably as farfetch have refused to provide me evidence of it being delivered and jst blatantly refused to give me my sandals or money

",neg
"Awful, awful and more awful

","DHL lost my package, which is of course not farfetchs fault. However, it has now been three weeks since the package has been declared lost, and only farfetch can compensate me. All they have to do is get the information from DHL, where they declare the package lost. I have been on the phone several times with DHL, and they say that farfetch have not contacted them. Farfetch themselves say thay are investigating - what they mean by this, I am not sure, as DHL have already declared the package lost, and taken the blame for it. All they have to do is get this information from DHL. Furthermore is the customer service of farfetch incredibly bad, and when I call they say they can’t do anything, and they can’t even pass me forward to the department who handle these cases. Awful company, and I will never purchase items from there ever again.

",neg
"when i got thw hat it was in a flat jox…

","when i got thw hat it was in a flat jox brim of hat was smashed where i was jot able to wear it very disappointed

",neg
"ordered some trainers 2months ago they…

","ordered some trainers 2months ago they didnt come farfetch have done nothing to help, no trainers or refund and says they are not going to give either, was ignored by them when i sent emails. awful company and very bad customer service. Would not recommend

",neg
"I was not pleased with this order

","I was not pleased with this order. The order took wayyyy to long to be shipped out. I ordered this item since May 27. And can u imagine how annoyed I am that I’m just receiving it June 11th. It’s not right at all.

",neg
"Bag is damaged

","I love the shopping experience, but the bag I received damaged and now they don&apos;t have any available. It was extremely disappointing for my fist purchase.

",neg
"Stone Island hoodie came with grease stains

","Stone Island hoodie came with three grease stains on it around 1cm in diameter each. It is as if someone had been it eating in the hoodie and spilled food on it. Really disappointed.

",neg
"Wrong order

","I spent a lot of money and was very disappointed when my order arrived because it was the wrong item

",neg
"Terrible as fk.

","Terrible as fk.. shiiiit

",neg
"I did not know you had to be home to…

","I did not know you had to be home to sign for package.  I work everyday so I can not be home to sign for a package.  Now it is sitting at FedEx in South Holland which is an hour away from my house.  This is unbelievable.  Worst experience ever.

",neg
"THEY NEVER HAVE DISCOUNTS I CAN NEVER…

","THEY NEVER HAVE DISCOUNTS I CAN NEVER USE MY FRIENDS GIFT BECUASE OUR PURCHASES DO NOT QUALIFY EVER!!AND MY REWARDS NEVER APPLY

",neg
"continuous bad service

","they gave me size small i ordered size medium for a jacket that costs over 1000 euro ... i said replace it they said they’d refund me and i have to order again... by the next day size medium was already goneI otdered an iphone case... expensive one... i personally telephoned them to ask if it is for iphone 11... they confirmed but the case was for iphone 11 max or plus idk but it didn’t fit as it was not for 11 Then i ordred a bag for my girl... plastic hand bag it broke the first day after we received it... literally the same day DHL gave it to us... the process of replacing the bag was a HARASSMENT... the options they gave me were absurd... i had to wait months to get it sorted I advise spend your money with them with caution they are reseller... they literally send you your stuff and cross fingets nothing goea wrong... if it doea you are screwed... their customer service never returns calls when you ask them... This is not a online boutique its just a cheap reseller... if something goes wrong you on your own and your couple of thousand euros are blown in the wind

",neg
"Pending a refund for 3 weeks

","Pending a refund for 3 weeks. Farfetch are blaming DHL for the slowness of the refund. Several emails and still no refund. The goods arrived quick enough but too small. why cant the refund!

",neg
"promo code sent by farfetch did not go through

","I just placed an order online, i bought a GUCCI passport holder, and since i was refered to by a friend I was supposed to get the 10% off for my first order. This did not happen. I used the code and it did not work. No explanation, nothing. I do not understand... They just need us to subscribe to the newsletter? No thanx...

",neg
"I am continuing a review from a few…

","I am continuing a review from a few days ago. Long story short Farfetch refused to send me my merchandise, or give me a refund. Well after a lot of complaining and raising hell, they only gave me half of my refund. Do yourselves a favor and shop at Mainline Menswear, Saks off 5th, Etc. They have name brand clothing at a reduced price. FARFETCH WILL RIP YOU OFF. I’m a disabled Veteran that is unable to work, so I don’t have money to just throw away. This company is despicable.

",neg
